"","consequence_id","consequence_name"
"87",87,"splice_acceptor_variant&coding_sequence_variant&intron_variant&feature_truncation"
"88",88,"splice_acceptor_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"89",89,"splice_acceptor_variant&feature_elongation"
"90",90,"splice_acceptor_variant&feature_truncation"
"91",91,"splice_acceptor_variant&frameshift_variant&feature_elongation"
"92",92,"splice_acceptor_variant&frameshift_variant&feature_truncation"
"93",93,"splice_acceptor_variant&intron_variant&feature_truncation"
"94",94,"splice_acceptor_variant&intron_variant&nc_transcript_variant&feature_truncation"
"95",95,"splice_acceptor_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"96",96,"splice_acceptor_variant&nc_transcript_variant"
"97",97,"splice_acceptor_variant&nc_transcript_variant&feature_elongation"
"98",98,"splice_acceptor_variant&nc_transcript_variant&feature_truncation"
"99",99,"splice_acceptor_variant&NMD_transcript_variant"
"100",100,"splice_acceptor_variant&NMD_transcript_variant&feature_elongation"
"101",101,"splice_acceptor_variant&non_coding_exon_variant&intron_variant&nc_transcript_variant&feature_elongation"
"102",102,"splice_acceptor_variant&non_coding_exon_variant&intron_variant&nc_transcript_variant&feature_truncation"
"103",103,"splice_acceptor_variant&non_coding_exon_variant&nc_transcript_variant&feature_elongation"
"104",104,"splice_acceptor_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation"
"105",105,"splice_acceptor_variant&synonymous_variant"
"106",106,"splice_donor_variant"
"107",107,"splice_donor_variant&3_prime_UTR_variant&feature_truncation"
"108",108,"splice_donor_variant&3_prime_UTR_variant&intron_variant&feature_truncation"
"109",109,"splice_donor_variant&3_prime_UTR_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"110",110,"splice_donor_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"111",111,"splice_donor_variant&5_prime_UTR_variant&feature_truncation"
"112",112,"splice_donor_variant&5_prime_UTR_variant&intron_variant&feature_elongation"
"113",113,"splice_donor_variant&5_prime_UTR_variant&intron_variant&feature_truncation"
"114",114,"splice_donor_variant&coding_sequence_variant&5_prime_UTR_variant&intron_variant&feature_truncation"
"115",115,"splice_donor_variant&coding_sequence_variant&feature_elongation"
"116",116,"splice_donor_variant&coding_sequence_variant&feature_truncation"
"117",117,"splice_donor_variant&coding_sequence_variant&intron_variant&feature_elongation"
"118",118,"splice_donor_variant&coding_sequence_variant&intron_variant&feature_truncation"
"119",119,"splice_donor_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant&feature_elongation"
"120",120,"splice_donor_variant&coding_sequence_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"121",121,"splice_donor_variant&feature_elongation"
"122",122,"splice_donor_variant&feature_truncation"
"123",123,"splice_donor_variant&frameshift_variant&feature_elongation"
"124",124,"splice_donor_variant&intron_variant&feature_elongation"
"125",125,"splice_donor_variant&intron_variant&feature_truncation"
"126",126,"splice_donor_variant&intron_variant&nc_transcript_variant&feature_elongation"
"127",127,"splice_donor_variant&intron_variant&nc_transcript_variant&feature_truncation"
"128",128,"splice_donor_variant&intron_variant&NMD_transcript_variant&feature_elongation"
"129",129,"splice_donor_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"130",130,"splice_donor_variant&nc_transcript_variant"
"131",131,"splice_donor_variant&nc_transcript_variant&feature_elongation"
"132",132,"splice_donor_variant&nc_transcript_variant&feature_truncation"
"133",133,"splice_donor_variant&NMD_transcript_variant"
"134",134,"splice_donor_variant&NMD_transcript_variant&feature_elongation"
"135",135,"splice_donor_variant&NMD_transcript_variant&feature_truncation"
"136",136,"splice_donor_variant&non_coding_exon_variant&intron_variant&nc_transcript_variant&feature_elongation"
"137",137,"splice_donor_variant&non_coding_exon_variant&intron_variant&nc_transcript_variant&feature_truncation"
"138",138,"splice_donor_variant&non_coding_exon_variant&nc_transcript_variant&feature_elongation"
"139",139,"splice_donor_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation"
"140",140,"splice_donor_variant&synonymous_variant"
"141",141,"splice_region_variant&3_prime_UTR_variant"
"142",142,"splice_region_variant&3_prime_UTR_variant&feature_elongation"
"143",143,"splice_region_variant&3_prime_UTR_variant&feature_truncation"
"144",144,"splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant"
"145",145,"splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_elongation"
"146",146,"splice_region_variant&3_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"147",147,"splice_region_variant&5_prime_UTR_variant"
"148",148,"splice_region_variant&5_prime_UTR_variant&feature_elongation"
"149",149,"splice_region_variant&5_prime_UTR_variant&feature_truncation"
"150",150,"splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant"
"151",151,"splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant&feature_elongation"
"152",152,"splice_region_variant&5_prime_UTR_variant&NMD_transcript_variant&feature_truncation"
"153",153,"splice_region_variant&coding_sequence_variant"
"154",154,"splice_region_variant&coding_sequence_variant&3_prime_UTR_variant&feature_truncation"
"155",155,"splice_region_variant&intron_variant"
"156",156,"splice_region_variant&intron_variant&feature_elongation"
"157",157,"splice_region_variant&intron_variant&feature_truncation"
"158",158,"splice_region_variant&intron_variant&nc_transcript_variant"
"159",159,"splice_region_variant&intron_variant&nc_transcript_variant&feature_elongation"
"160",160,"splice_region_variant&intron_variant&nc_transcript_variant&feature_truncation"
"161",161,"splice_region_variant&intron_variant&NMD_transcript_variant"
"162",162,"splice_region_variant&intron_variant&NMD_transcript_variant&feature_elongation"
"163",163,"splice_region_variant&intron_variant&NMD_transcript_variant&feature_truncation"
"164",164,"splice_region_variant&nc_transcript_variant&feature_elongation"
"165",165,"splice_region_variant&non_coding_exon_variant&intron_variant&nc_transcript_variant&feature_elongation"
"166",166,"splice_region_variant&non_coding_exon_variant&nc_transcript_variant"
"167",167,"splice_region_variant&non_coding_exon_variant&nc_transcript_variant&feature_elongation"
"168",168,"splice_region_variant&non_coding_exon_variant&nc_transcript_variant&feature_truncation"
"169",169,"splice_region_variant&stop_retained_variant"
"170",170,"splice_region_variant&stop_retained_variant&NMD_transcript_variant"
"171",171,"splice_region_variant&synonymous_variant"
"172",172,"splice_region_variant&synonymous_variant&NMD_transcript_variant"
"173",173,"splice_region_variant&upstream_gene_variant"
"174",174,"stop_gained"
"175",175,"stop_gained&inframe_deletion"
"176",176,"stop_gained&inframe_insertion"
"177",177,"stop_gained&inframe_insertion&NMD_transcript_variant"
"178",178,"stop_gained&inframe_insertion&splice_region_variant"
"179",179,"stop_gained&initiator_codon_variant"
"180",180,"stop_gained&NMD_transcript_variant"
"181",181,"stop_gained&splice_region_variant"
"182",182,"stop_gained&splice_region_variant&NMD_transcript_variant"
"183",183,"stop_lost"
"184",184,"stop_lost&inframe_deletion"
"185",185,"stop_lost&inframe_insertion"
"186",186,"stop_lost&NMD_transcript_variant"
"187",187,"stop_lost&splice_region_variant"
"188",188,"stop_lost&splice_region_variant&NMD_transcript_variant"
"189",189,"stop_retained_variant"
"190",190,"stop_retained_variant&NMD_transcript_variant"
"191",191,"synonymous_variant"
"192",192,"synonymous_variant&NMD_transcript_variant"
"193",193,"upstream_gene_variant"
"194",194,"upstream_gene_variant&feature_elongation"
"195",195,"reference"
