"id_with_url","name","location","species","feature_type","description"
"ENSMUSG00000094389","Gm22188","7:59871864-59871957:-1","Mouse","Gene","predicted gene, 22188 [Source:MGI Symbol;Acc:MGI:5451965]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094389"
"ENSMUSG00000094407","Gm23141","7:59705968-59706061:-1","Mouse","Gene","predicted gene, 23141 [Source:MGI Symbol;Acc:MGI:5452918]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094407"
"ENSMUSG00000094573","Gm23549","7:59874380-59874473:-1","Mouse","Gene","predicted gene, 23549 [Source:MGI Symbol;Acc:MGI:5453326]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094573"
"ENSMUSG00000094581","Gm26365","7:59693220-59693313:-1","Mouse","Gene","predicted gene, 26365 [Source:MGI Symbol;Acc:MGI:5456142]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094581"
"ENSMUSG00000094599","Gm24742","7:59892111-59892204:-1","Mouse","Gene","predicted gene, 24742 [Source:MGI Symbol;Acc:MGI:5454519]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094599"
"ENSMUSG00000094642","Gm23696","7:59899687-59899780:-1","Mouse","Gene","predicted gene, 23696 [Source:MGI Symbol;Acc:MGI:5453473]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094642"
"ENSMUSG00000094831","Gm25474","7:59784293-59784386:-1","Mouse","Gene","predicted gene, 25474 [Source:MGI Symbol;Acc:MGI:5455251]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094831"
"ENSMUSG00000094837","Gm25471","7:59761554-59761647:-1","Mouse","Gene","predicted gene, 25471 [Source:MGI Symbol;Acc:MGI:5455248]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094837"
"ENSMUSG00000094987","Gm23724","7:59869330-59869423:-1","Mouse","Gene","predicted gene, 23724 [Source:MGI Symbol;Acc:MGI:5453501]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094987"
"ENSMUSG00000094994","Gm22046","7:59748956-59749049:-1","Mouse","Gene","predicted gene, 22046 [Source:MGI Symbol;Acc:MGI:5451823]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094994"
"ENSMUSG00000094997","Gm22047","7:59791844-59791937:-1","Mouse","Gene","predicted gene, 22047 [Source:MGI Symbol;Acc:MGI:5451824]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094997"
"ENSMUSG00000095045","Gm22851","7:59774190-59774283:-1","Mouse","Gene","predicted gene, 22851 [Source:MGI Symbol;Acc:MGI:5452628]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095045"
"ENSMUSG00000095060","Gm26188","7:59723644-59723737:-1","Mouse","Gene","predicted gene, 26188 [Source:MGI Symbol;Acc:MGI:5455965]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095060"
"ENSMUSG00000095100","Gm22128","7:59771656-59771749:-1","Mouse","Gene","predicted gene, 22128 [Source:MGI Symbol;Acc:MGI:5451905]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095100"
"ENSMUSG00000095155","Gm26032","7:59741373-59741466:-1","Mouse","Gene","predicted gene, 26032 [Source:MGI Symbol;Acc:MGI:5455809]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095155"
"ENSMUSG00000095349","Gm26097","7:59796905-59796997:-1","Mouse","Gene","predicted gene, 26097 [Source:MGI Symbol;Acc:MGI:5455874]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095349"
"ENSMUSG00000095374","Gm22110","7:59866788-59866881:-1","Mouse","Gene","predicted gene, 22110 [Source:MGI Symbol;Acc:MGI:5451887]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095374"
"ENSMUSG00000095389","Gm23953","7:59736313-59736406:-1","Mouse","Gene","predicted gene, 23953 [Source:MGI Symbol;Acc:MGI:5453730]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095389"
"ENSMUSG00000095458","Gm26223","7:59879459-59879552:-1","Mouse","Gene","predicted gene, 26223 [Source:MGI Symbol;Acc:MGI:5456000]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095458"
"ENSMUSG00000095479","Gm25074","7:59776724-59776817:-1","Mouse","Gene","predicted gene, 25074 [Source:MGI Symbol;Acc:MGI:5454851]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095479"
"ENSMUSG00000095542","Gm24618","7:59746425-59746518:-1","Mouse","Gene","predicted gene, 24618 [Source:MGI Symbol;Acc:MGI:5454395]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095542"
"ENSMUSG00000095618","Gm26246","7:59789331-59789424:-1","Mouse","Gene","predicted gene, 26246 [Source:MGI Symbol;Acc:MGI:5456023]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095618"
"ENSMUSG00000095639","Gm22941","7:59786818-59786911:-1","Mouse","Gene","predicted gene, 22941 [Source:MGI Symbol;Acc:MGI:5452718]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095639"
"ENSMUSG00000095641","Gm25615","7:59864240-59864333:-1","Mouse","Gene","predicted gene, 25615 [Source:MGI Symbol;Acc:MGI:5455392]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095641"
"ENSMUSG00000095691","Gm26094","7:59902213-59902306:-1","Mouse","Gene","predicted gene, 26094 [Source:MGI Symbol;Acc:MGI:5455871]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095691"
"ENSMUSG00000095734","Gm23767","7:59708469-59708562:-1","Mouse","Gene","predicted gene, 23767 [Source:MGI Symbol;Acc:MGI:5453544]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000095734"
"ENSMUSG00000096017","Gm26502","7:59756514-59756607:-1","Mouse","Gene","predicted gene, 26502 [Source:MGI Symbol;Acc:MGI:5456279]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096017"
"ENSMUSG00000096057","Gm25944","7:59731223-59731316:-1","Mouse","Gene","predicted gene, 25944 [Source:MGI Symbol;Acc:MGI:5455721]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096057"
"ENSMUSG00000096070","Gm25350","7:59754002-59754095:-1","Mouse","Gene","predicted gene, 25350 [Source:MGI Symbol;Acc:MGI:5455127]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096070"
"ENSMUSG00000096082","Gm24711","7:59721125-59721218:-1","Mouse","Gene","predicted gene, 24711 [Source:MGI Symbol;Acc:MGI:5454488]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096082"
"ENSMUSG00000096095","Gm26332","7:59738848-59738941:-1","Mouse","Gene","predicted gene, 26332 [Source:MGI Symbol;Acc:MGI:5456109]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096095"
"ENSMUSG00000096190","Gm26136","7:59884499-59884592:-1","Mouse","Gene","predicted gene, 26136 [Source:MGI Symbol;Acc:MGI:5455913]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096190"
"ENSMUSG00000096231","Gm22584","7:59713534-59713625:-1","Mouse","Gene","predicted gene, 22584 [Source:MGI Symbol;Acc:MGI:5452361]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096231"
"ENSMUSG00000096248","Gm24264","7:59698307-59698400:-1","Mouse","Gene","predicted gene, 24264 [Source:MGI Symbol;Acc:MGI:5454041]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096248"
"ENSMUSG00000096302","Gm25210","7:59769138-59769231:-1","Mouse","Gene","predicted gene, 25210 [Source:MGI Symbol;Acc:MGI:5454987]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096302"
"ENSMUSG00000096305","Gm23047","7:59733770-59733863:-1","Mouse","Gene","predicted gene, 23047 [Source:MGI Symbol;Acc:MGI:5452824]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096305"
"ENSMUSG00000096313","Gm23524","7:59881989-59882082:-1","Mouse","Gene","predicted gene, 23524 [Source:MGI Symbol;Acc:MGI:5453301]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096313"
"ENSMUSG00000096431","Gm22131","7:59681055-59681148:-1","Mouse","Gene","predicted gene, 22131 [Source:MGI Symbol;Acc:MGI:5451908]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096431"
"ENSMUSG00000096462","Gm22812","7:59806995-59807088:-1","Mouse","Gene","predicted gene, 22812 [Source:MGI Symbol;Acc:MGI:5452589]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096462"
"ENSMUSG00000096502","Gm23089","7:59718588-59718681:-1","Mouse","Gene","predicted gene, 23089 [Source:MGI Symbol;Acc:MGI:5452866]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096502"
"ENSMUSG00000096604","Gm26201","7:59801956-59802049:-1","Mouse","Gene","predicted gene, 26201 [Source:MGI Symbol;Acc:MGI:5455978]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096604"
"ENSMUSG00000096634","Gm22173","7:59897161-59897254:-1","Mouse","Gene","predicted gene, 22173 [Source:MGI Symbol;Acc:MGI:5451950]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096634"
"ENSMUSG00000096660","Gm22863","7:59743912-59744005:-1","Mouse","Gene","predicted gene, 22863 [Source:MGI Symbol;Acc:MGI:5452640]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096660"
"ENSMUSG00000096677","Gm24518","7:59728681-59728774:-1","Mouse","Gene","predicted gene, 24518 [Source:MGI Symbol;Acc:MGI:5454295]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096677"
"ENSMUSG00000096845","Gm25597","7:59794360-59794453:-1","Mouse","Gene","predicted gene, 25597 [Source:MGI Symbol;Acc:MGI:5455374]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096845"
"ENSMUSG00000096865","Gm23313","7:59759026-59759119:-1","Mouse","Gene","predicted gene, 23313 [Source:MGI Symbol;Acc:MGI:5453090]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096865"
"ENSMUSG00000096868","Gm22258","7:59799444-59799537:-1","Mouse","Gene","predicted gene, 22258 [Source:MGI Symbol;Acc:MGI:5452035]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096868"
"ENSMUSG00000077772","Gm22373","7:59923034-59923122:-1","Mouse","Gene","predicted gene, 22373 [Source:MGI Symbol;Acc:MGI:5452150]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000077772"
"ENSMUSG00000094069","Gm25155","7:59700878-59700971:-1","Mouse","Gene","predicted gene, 25155 [Source:MGI Symbol;Acc:MGI:5454932]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094069"
"ENSMUSG00000094150","Gm23265","7:59726161-59726254:-1","Mouse","Gene","predicted gene, 23265 [Source:MGI Symbol;Acc:MGI:5453042]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094150"
"ENSMUSG00000094236","Gm24609","7:59695744-59695837:-1","Mouse","Gene","predicted gene, 24609 [Source:MGI Symbol;Acc:MGI:5454386]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094236"
"ENSMUSG00000094890","Gm22285","7:59678509-59678602:-1","Mouse","Gene","predicted gene, 22285 [Source:MGI Symbol;Acc:MGI:5452062]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094890"
"ENSMUSG00000094923","Gm24760","7:59751489-59751582:-1","Mouse","Gene","predicted gene, 24760 [Source:MGI Symbol;Acc:MGI:5454537]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094923"
"ENSMUSG00000094960","Gm22417","7:59711009-59711102:-1","Mouse","Gene","predicted gene, 22417 [Source:MGI Symbol;Acc:MGI:5452194]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000094960"
"ENSMUSG00000096019","Gm26504","7:59675988-59676081:-1","Mouse","Gene","predicted gene, 26504 [Source:MGI Symbol;Acc:MGI:5456281]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096019"
"ENSMUSG00000096110","Gm26270","7:59716059-59716152:-1","Mouse","Gene","predicted gene, 26270 [Source:MGI Symbol;Acc:MGI:5456047]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096110"
"ENSMUSG00000096148","Gm25816","7:59703427-59703520:-1","Mouse","Gene","predicted gene, 25816 [Source:MGI Symbol;Acc:MGI:5455593]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096148"
"ENSMUSG00000096159","Gm24153","7:59683586-59683679:-1","Mouse","Gene","predicted gene, 24153 [Source:MGI Symbol;Acc:MGI:5453930]  SNORD116 (RFAM record with a description of Small nucleolar RNA SNORD116) is associated with Gene ENSMUSG00000096159"
"64244","Snord116l1","7:59894622-59894711:-1","Mouse","Gene",""
"64245","Snord116l2","7:59876935-59877024:-1","Mouse","Gene",""
